codigo,label_pt,dominio_num,dominio,classe_num,classe,definicao,status
00335,Risco de solidão excessiva,12,Conforto,3,Conforto social,"Suscetibilidade a sentimentos opressivos de tristeza, desânimo ou desconforto associados à falta de companhia ou à separação de outras pessoas.",Ativo na NANDA-I 2024-2026
00336,Risco de lesão física,11,Segurança/proteção,2,Lesão física,"Suscetibilidade a dano corporal devido a traumas, descargas elétricas, mudanças de pressão e/ou radiação.",Ativo na NANDA-I 2024-2026
00337,Padrão de sono ineficaz,4,Atividade/repouso,1,Sono/repouso,"Dificuldade de vivenciar a suspensão natural e periódica da consciência relativa, o que prejudica negativamente a função.",Ativo na NANDA-I 2024-2026
00338,Autoeficácia em saúde inadequada,6,Autopercepção,2,Autoestima,"Crença insuficiente na habilidade da própria pessoa de promover, manter ou restaurar um estado de saúde adequado.",Ativo na NANDA-I 2024-2026
00339,Letramento em saúde inadequado,1,Promoção da saúde,2,Gestão da saúde,"Padrão insatisfatório de obtenção, avaliação e aplicação de informações e serviços básicos de saúde necessários à tomada de decisão em saúde.",Ativo na NANDA-I 2024-2026
00340,Disposição para envelhecimento saudável melhorado,1,Promoção da saúde,2,Gestão da saúde,"Padrão de desenvolvimento ou manutenção do bem-estar e da função física, mental, social e espiritual com o avanço da idade, que pode ser fortalecido.",Ativo na NANDA-I 2024-2026
00341,Disposição para identidade social como pessoa transgênero melhorada,6,Autopercepção,1,Autoconceito,"Padrão de desenvolvimento da autoimagem de gênero, incluindo a modificação das características corporais, que promove sentimentos de pertencimento a um grupo social ou cultural, que pode ser fortalecido.",Ativo na NANDA-I 2024-2026
00342,Síndrome do conforto prejudicado no fim da vida,12,Conforto,1,Conforto físico,"Deterioração em um conjunto de manifestações físicas, psicológicas, sociais e espirituais devido à iminência do processo de morte.",Ativo na NANDA-I 2024-2026
00343,Ingestão nutricional inadequada,2,Nutrição,1,Ingestão,Consumo de nutrientes insuficiente para atender às necessidades metabólicas.,Ativo na NANDA-I 2024-2026
00344,Eliminação intestinal prejudicada,3,Eliminação e troca,2,Função gastrintestinal,Alteração no processo normal de defecação pelo reto ou por uma ostomia.,Ativo na NANDA-I 2024-2026
00345,Risco de continência fecal prejudicada,3,Eliminação e troca,2,Função gastrintestinal,"Suscetibilidade à inabilidade de controlar os esfincteres anais, com passagem involuntária de fezes e flatos.",Ativo na NANDA-I 2024-2026
00346,Risco de eliminação intestinal prejudicada,3,Eliminação e troca,2,Função gastrintestinal,Suscetibilidade a alteração no processo normal de defecação pelo reto ou por uma ostomia.,Ativo na NANDA-I 2024-2026
00347,Amamentação exclusiva conturbada,2,Nutrição,1,Ingestão,"Interferência no processo de fornecimento exclusivo de leite humano a um lactente de até 6 meses de idade, em indivíduos cuja produção de leite humano é adequada.",Ativo na NANDA-I 2024-2026
00348,Crescimento atrasado da criança,13,Crescimento/desenvolvimento,1,Crescimento,"Altura, comprimento, índice de massa corporal, circunferência da cabeça e/ou velocidade de crescimento (cm/ano) inadequados para o sexo, a idade e a etnia de um indivíduo ≤ 18 anos de idade.",Ativo na NANDA-I 2024-2026
00349,Risco de binômio mãe-feto prejudicado,8,Sexualidade,3,Reprodução,"Suscetibilidade a uma interrupção da relação simbiótica mãe-feto que afeta as trocas fisiológicas e as interações afetivo-emocionais durante a gravidez, como resultado de comorbidades ou condições relacionadas à gravidez.",Ativo na NANDA-I 2024-2026
00350,Risco de lesão pelo calor,11,Segurança/proteção,2,Lesão física,"Suscetibilidade a danos à pele ou aos tecidos por calor, vapor, produtos químicos, eletricidade ou similares.",Ativo na NANDA-I 2024-2026
00351,Risco de lesão pelo frio,11,Segurança/proteção,2,Lesão física,Suscetibilidade a danos na pele ou nos tecidos devido a baixas temperaturas ambientais.,Ativo na NANDA-I 2024-2026
00352,Autogestão ineficaz da boca seca,1,Promoção da saúde,2,Gestão da saúde,"Manejo insatisfatório de regime terapêutico, consequências e mudanças no estilo de vida associados à redução da secreção salivar.",Ativo na NANDA-I 2024-2026
00353,Síndrome da fragilidade do idoso,1,Promoção da saúde,2,Gestão da saúde,Estado dinâmico de desequilíbrio que inclui a deterioração de funções e reservas nos sistemas fisiológicos.,Ativo na NANDA-I 2024-2026
00356,Gestão ineficaz da saúde da comunidade,1,Promoção da saúde,2,Gestão da saúde,Manejo insatisfatório de problemas de saúde ou fatores que impedem o bem-estar ou aumentam o risco de problemas de saúde vivenciados por uma população.,Ativo na NANDA-I 2024-2026
00357,Risco de síndrome da fragilidade do idoso,1,Promoção da saúde,2,Gestão da saúde,Suscetibilidade a um estado dinâmico de desequilíbrio que inclui a deterioração de funções e reservas nos sistemas fisiológicos.,Ativo na NANDA-I 2024-2026
00358,Rede de apoio social inadequada,12,Conforto,3,Conforto social,Interações interpessoais e organizacionais que são percebidas como insatisfatórias para atender às necessidades de saúde.,Ativo na NANDA-I 2024-2026
00359,Ingestão nutricional proteico-calórica inadequada,2,Nutrição,1,Ingestão,Consumo alimentar insuficiente de proteínas e calorias para atender às necessidades metabólicas.,Ativo na NANDA-I 2024-2026
00360,Risco de ingestão nutricional proteico-calórica inadequada,2,Nutrição,1,Ingestão,Suscetibilidade a consumo alimentar insuficiente de proteínas e calorias para atender às necessidades metabólicas.,Ativo na NANDA-I 2024-2026
00361,Resposta imune prejudicada,11,Segurança/proteção,1,Infecção,Habilidade enfraquecida de defesa contra microrganismos estranhos ou contra o efeito tóxico de substâncias antigênicas.,Ativo na NANDA-I 2024-2026
